"RefDes","Value","Name","Quantity"
"A","","B3S-1002","1"
"B","","B3S-1002","1"
"C1","100nF","CAP_0603","1"
"C2","100nF","CAP_0603","1"
"C3","100nF","CAP_0603","1"
"C4","10uF","CAP_1206","1"
"C5","100nF","CAP_0603","1"
"C6","47u","CAPAE-6.6x6.6h6","1"
"C7","10uF","CAP_1206","1"
"C8","100nF","CAP_0603","1"
"C9","47u","CAPAE-6.6x6.6h6","1"
"C10","10nF","CAP_0603","1"
"C11","10uF","CAP_1206","1"
"C12","100nF","CAP_0603","1"
"C13","10nF","CAP_0603","1"
"C14","2n2F","CAP_0603","1"
"C15","100nF","CAP_0603","1"
"C16","100nF","CAP_0603","1"
"C17","100nF","CAP_0603","1"
"C18","100nF","CAP_0603","1"
"C19","100nF","CAP_0603","1"
"C21","100nF","CAP_0603","1"
"C22","10uF","CAP_1206","1"
"C23","100u","CAPAE-6.6x6.6h6","1"
"C24","100nF","CAP_0603","1"
"C25","470pF","CAP_0603","1"
"C26","100nF","CAP_0603","1"
"C27","100u","CAPAE-6.6x6.6h6","1"
"C28","4.7pF","CAP_0603","1"
"C30","100nF","CAP_0603","1"
"C31","100nF","CAP_0603","1"
"D1","","DIODE_0603","1"
"D2","","DIODE_0603","1"
"D3","","MBRL140","1"
"D4","","DIODE_0603","1"
"D5","","DIODE_0603","1"
"D6","","MBRL140","1"
"J1","","87759-4015","1"
"J2","","1-292228-8","1"
"J3","","644456-3","1"
"J4","","1734035-4","1"
"J5","","51022-0400","1"
"J7","","SJ1-3515-SMT","1"
"J8","","87758-10","1"
"L1","10uH","IND_1206","1"
"Q1","","BC817-25","1"
"Q3","","BC817-25","1"
"R1","2k2","RES_0603","1"
"R2","2k2","RES_0603","1"
"R3","10k","RES_0603","1"
"R4","10k","RES_0603","1"
"R5","220k","RES_0603","1"
"R6","100R","RES_0603","1"
"R7","220k","RES_0603","1"
"R8","100R","RES_0603","1"
"R9","10k","RES_0603","1"
"R10","10k","RES_0603","1"
"R11","10k","RES_0603","1"
"R12","10k","RES_0603","1"
"R13","4.7k","RES_0603","1"
"R14","4.7k","RES_0603","1"
"R15","3k","RES_0603","1"
"R16","1k","RES_0603","1"
"R17","10R","RES_0805","1"
"R18","10R","RES_0805","1"
"R19","10R","RES_0805","1"
"R20","10R","RES_0805","1"
"R21","1k","RES_0603","1"
"R22","10k","RES_0603","1"
"R23","1k","RES_0603","1"
"R24","2.2k","RES_0603","1"
"R25","1k","RES_0603","1"
"R26","0R","RES_0603","1"
"R27","10k","RES_0603","1"
"R28","10k","RES_0603","1"
"R29","10k","RES_0603","1"
"R30","100k","RES_0603","1"
"R31","1.65M","RES_0603","1"
"R32","549k","RES_0603","1"
"R33","30k","RES_0603","1"
"R34","82k","RES_0603","1"
"R35","10k","RES_0603","1"
"R36","10k","RES_0603","1"
"R37","10k","RES_0603","1"
"R38","10k","RES_0603","1"
"R39","1k","RES_0603","1"
"R40","1k","RES_0603","1"
"R41","1k","RES_0603","1"
"R42","1k","RES_0603","1"
"R43","1k","RES_0603","1"
"S5","","B3S-1002","1"
"S6","","B3S-1002","1"
"SELECT","","B3M-6009","1"
"START","","B3M-6009","1"
"TP1","","TESTPOINT","1"
"TP2","","TESTPOINT","1"
"TP3","","TESTPOINT","1"
"TP4","","TESTPOINT","1"
"U1","","DS1307Z","1"
"U2","","UDA1334ATS","1"
"U3","","MPU-3060","1"
"U4","","TP4056E","1"
"U5","","LTC3402EMS","1"
"U6","","TSC2046EQPWRQ1","1"
"U7","","Joystick","1"
"U8","","SPH0645LM4H","1"
"X","","B3S-1002","1"
"Y","","B3S-1002","1"
"Y1","","12SMXB","1"
